serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
71,600080,金花股份,43449.46,12262.10,2515.06,14514.05,19728.44,197441.86,5.5733,1570.25,33.71,29065.32,35.8380,661.05,,14.7210,48093.58,168376.54,2022FY,2022
73,600080,金花股份,47545.29,11413.95,2562.32,6994.99,20107.18,193919.80,-1.7838,1318.02,33.71,25238.96,-13.1647,433.52,,13.0152,48397.87,168680.83,2023HY,2023
74,600080,金花股份,44058.10,11331.78,2843.85,19387.46,40614.63,205883.10,4.2753,1466.46,33.71,37167.51,27.8758,155.30,7640.54,18.0527,48432.64,168715.60,2023Q3,2023
75,600080,金花股份,62044.96,11394.60,2624.71,5682.72,11083.15,210855.11,6.7935,928.48,33.71,47012.46,61.7476,71.87,,22.2961,44438.41,163842.65,2023FY,2023
77,600080,金花股份,30790.59,8467.29,3087.05,8229.37,18200.16,178790.48,-15.2069,742.69,829.42,28951.53,-38.4173,829.42,4262.33,16.1930,45384.70,149838.95,2024HY,2024
78,600080,金花股份,26091.56,10704.56,2917.30,9380.92,25404.46,185977.97,-11.7982,882.62,61.31,34008.29,-27.6611,61.31,4262.33,18.2862,47515.43,151969.68,2024Q3,2024
79,600080,金花股份,16771.10,11054.93,3489.93,9727.08,41464.02,199184.51,1.0027,635.72,66.53,43114.79,4.4986,66.53,7946.94,21.6457,51332.11,156069.73,2025Q1,2025
80,600080,金花股份,34768.10,11302.04,3190.15,2502.14,37369.07,197207.12,-6.4727,781.88,97.38,41258.74,-12.2387,97.38,3455.66,20.9215,51210.58,155948.38,2024FY,2024
81,600080,金花股份,17823.29,11541.28,3229.76,900.16,45694.48,192962.10,-2.1526,492.59,31.31,37453.53,-9.2228,31.31,3455.66,19.4098,50771.94,155508.56,2025HY,2025
82,600080,金花股份,23546.74,11438.92,2805.61,11165.72,47426.09,195675.16,-0.7768,796.60,39.30,37361.18,-9.4466,39.30,6230.30,19.0935,53600.56,158313.98,2025Q3,2025
83,000999,华润三九,314970.89,408732.39,249886.85,121878.06,94609.19,2712278.17,10.5162,144946.78,101227.22,958936.70,9.3748,101227.22,16850.00,35.3554,1376143.54,1753341.47,2022FY,2022
84,000999,华润三九,533011.56,685741.63,433701.70,,108287.68,3787985.40,39.6607,238030.66,161161.99,1472879.12,53.5950,161161.99,143405.79,38.8829,1491246.55,2315106.28,2023Q1,2023
85,000999,华润三九,661414.32,607627.13,489044.76,68139.78,98246.56,3869806.06,42.6773,230914.83,137265.00,1507119.15,57.1657,137265.00,83856.34,38.9456,1517568.92,2362686.91,2023Q3,2023
86,000999,华润三九,669961.63,658247.23,457650.49,8000.00,96289.96,3886556.25,43.2949,234617.80,143596.30,1589109.88,65.7158,143596.30,102651.41,40.8874,1465021.40,2297446.37,2023HY,2023
87,000999,华润三九,677077.26,618220.71,511249.64,145601.44,53779.61,4014845.59,48.0248,236524.91,165015.24,1588658.20,65.6687,165015.24,88565.07,39.5696,1562602.11,2426187.39,2023FY,2023
88,000999,华润三九,702623.14,633256.85,498163.09,180366.94,58857.66,4124767.44,2.7379,235883.46,178179.37,1552131.91,-2.2992,178179.37,91430.60,37.6296,1698984.70,2572635.53,2024Q1,2024
89,000999,华润三九,614265.56,644104.71,505713.01,270398.29,63163.27,4076992.34,1.5479,235640.39,146144.96,1470588.84,-7.4320,146144.96,82160.94,36.0704,1710357.79,2606403.50,2024Q3,2024
90,000999,华润三九,548200.68,647005.21,499243.98,328546.49,64633.70,4069826.65,1.3694,238219.97,147380.35,1532439.68,-3.5387,147380.35,90552.27,37.6537,1654210.52,2537386.96,2024HY,2024
91,000999,华润三九,501683.30,661024.54,493268.28,167733.44,30671.76,4008197.23,-0.1656,232301.44,5.68,1482565.90,-6.6781,186086.31,85556.74,36.9883,1612109.32,2525631.34,2024FY,2024
92,000999,华润三九,790514.79,768069.67,671011.59,264794.16,62183.40,5784639.54,44.3202,287131.57,6379.25,2250769.85,51.8158,152815.29,247101.04,38.9094,1739116.70,3533869.69,2025Q1,2025
93,000999,华润三九,562322.62,766606.41,638694.74,295188.02,72187.55,5656398.18,41.1208,228366.61,6515.41,1918458.19,29.4012,98699.03,180780.65,33.9166,1725583.95,3737939.99,2025Q3,2025
94,000999,华润三九,640785.17,764543.34,652335.20,326362.72,65290.12,5725989.25,42.8570,255137.14,7720.19,1957941.63,32.0644,117877.85,289553.48,34.1939,1744659.76,3768047.63,2025HY,2025
