serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
66,600080,金花股份,0.0896,57937.45,8.4897,,3345.95,284.2433,,4.5108,2.0000,0.1409,,,76.1864,5.7751,0.2300,2022FY,2022
67,600080,金花股份,0.0082,25536.95,-1.2948,,304.26,-85.8291,,4.5190,0.1800,-0.0921,1741.22,-13.3364,76.0549,1.1915,1.0300,2023HY,2023
68,600080,金花股份,0.0009,40280.50,-4.8081,,339.03,-89.3485,,4.5199,0.0200,-0.0320,-0.01,,76.9332,0.8417,,2023Q3,2023
69,600080,金花股份,-0.1149,56540.34,-2.4114,,-4289.06,-228.1866,,4.3894,-2.5800,0.1622,,,76.3440,-7.5858,0.1800,2023FY,2023
70,600080,金花股份,0.0261,24596.55,-3.6825,,946.29,211.0136,,4.0142,0.6000,-0.0619,1003.14,-42.3887,76.6614,3.8472,0.6400,2024HY,2024
71,600080,金花股份,0.0579,41893.12,4.0035,,3077.02,807.5952,,4.0713,1.3500,-0.0020,0.00,,77.9834,7.3449,,2024Q3,2024
72,600080,金花股份,0.0034,10732.26,-7.3122,,121.35,-94.9358,,4.1839,0.0778,-0.3251,1067.46,151.7891,76.2165,1.1307,,2025Q1,2025
73,600080,金花股份,0.2088,58546.18,3.5476,,7360.05,271.6005,,4.1806,4.7900,0.0291,,,78.3400,12.5714,0.8800,2024FY,2024
74,600080,金花股份,0.0176,24129.30,-1.8997,,618.32,-34.6585,,4.1689,0.4000,-0.2168,679.00,-32.3125,76.5860,2.5625,0.4400,2025HY,2025
75,600080,金花股份,0.0802,38390.84,-8.3600,,3423.74,11.2680,,4.2446,1.8000,-0.1546,0.02,,76.5515,8.9181,,2025Q3,2025
76,000999,华润三九,2.4800,1807946.15,16.3085,,249701.11,18.9850,,17.2102,,3.0418,,,54.0189,13.8113,,2022FY,2022
77,000999,华润三九,1.1600,635240.83,49.4605,,122946.00,44.7097,,18.3919,6.5400,0.3047,,,54.0750,19.3542,,2023Q1,2023
78,000999,华润三九,0.5400,1860800.60,53.6490,,,,,18.7223,,3.0866,,,51.7915,,,2023Q3,2023
79,000999,华润三九,1.9100,1314612.57,56.4839,,205985.96,42.1967,,18.1681,10.7400,1.7928,,,52.2182,15.6689,,2023HY,2023
80,000999,华润三九,2.9000,2473896.33,36.8346,,317347.87,27.0911,,19.1939,15.8600,4.2419,,,53.2429,12.8279,,2023FY,2023
81,000999,华润三九,1.3900,729407.06,14.8237,,145316.82,18.1956,,20.5888,6.9400,0.7960,132784.04,17.3819,53.4206,19.9226,,2024Q1,2024
82,000999,华润三九,0.4400,1974028.70,6.0849,,,,,15.9871,2.8400,2.4949,,,52.6802,,,2024Q3,2024
83,000999,华润三九,1.8700,1410601.28,7.3017,,257705.34,25.1082,,15.5328,12.3200,1.8395,,,53.5633,18.2692,,2024HY,2024
84,000999,华润三九,2.6300,2761661.18,11.6320,,377774.13,19.0410,,15.4973,,3.4277,,,51.8564,13.6792,,2024FY,2024
85,000999,华润三九,1.0000,685365.64,-6.0380,,133137.83,-8.3810,,16.4901,,0.7629,,,53.2783,19.4258,,2025Q1,2025
86,000999,华润三九,0.3200,2198640.40,11.3783,,,,,12.6878,,1.7578,48857.08,10.1178,53.5178,,,2025Q3,2025
87,000999,华润三九,1.0900,1481016.02,4.9918,,221158.88,-14.1815,,12.7817,8.8000,1.7131,,,53.5443,14.9329,,2025HY,2025
