Sheet1:
序号	股票代码	A股简称	公司名称	英文名称	所属证监会行业	上市交易所	证券类别	注册区域	注册资本	雇员人数	管理人员人数
1	000999	华润三九	华润三九医药股份有限公司	China Resources Sanjiu Medical & Pharmaceutical Co., Ltd.	制造业-医药制造业	深圳证券交易所	深交所主板A股	广东省深圳市	16.64亿	20031	22
2	600080	金花股份	金花企业(集团)股份有限公司	Ginwa Enterprise (Group) Inc.	制造业-医药制造业	上海证券交易所	上交所主板A股	陕西省西安市	3.733亿	588	12

Sheet2（字段说明）:
字段名称	字段属性说明
序号	数据行的顺序编号，无实际业务含义
股票代码	上市公司的唯一证券标识代码
A股简称	上市公司在A股市场的常用简称
公司名称	上市公司的完整法定注册名称
英文名称	上市公司的官方英文名称
所属证监会行业	中国证监会发布《上市公司行业分类指引》划分的行业类别
上市交易所	公司股票挂牌交易的证券交易所
证券类别	股票的具体交易板块类型
注册区域	上市公司的法定注册地址所属省级行政区+城市
注册资本	公司在工商部门登记的注册资本总额
雇员人数	公司的员工总数量
管理人员人数	公司管理层人员的数量
